sentence,nutrient,pmid,label
the alleviation effect of iron on cadmium phytotoxicity in mangrove a.,iron,30951935,0
our previous study has demonstrated that the use of superparamagnetic iron oxide nanoparticle-decorated exosome (exosome-spion) and external magnetic force (mf) enables bay 55-9837 to target pancreatic islets.,iron,40297314,0
"iron deficiency affects oxygen transport, compromising energy and muscle metabolism and can occur with depletion of iron storage, defective erythropoiesis, and low hemoglobin levels.",iron,37233775,0
"transition metal oxides (tmos), especially zinc- and iron-based materials, are known to be one of the most innovative anode materials based on their high theoretical capacity, low price and abundant natural reserves.",iron,39740567,0
"in aqueous systems, *oh production through nitrite photolysis can be negligible due to the competition for light absorption by dissolved fe(iii), colloidal iron oxides, and nitrate.",iron,11878381,0
"on the contrary, under anemia of chronic diseases its content drastically increases and results in blocking of iron transport everywhere, including internal epithelium, macrophages, placenta and other types of cells.",iron,27506105,0
background: the regulation of iron absorption has previously been considered <<an enigma>>.,iron,19415084,0
"ferroptosis, a novel form of regulated cell death characterized by iron accumulation and excessive lipid peroxidation, has been implicated in the pathogenesis of hli, including diffuse alveolar damage, vascular endothelial injury, and bronchopulmonary dysplasia.",iron,40170719,0
it has also been observed in experiments using adult animals that the intestinal transport of iron and the nonessential metal cadmium interact with one another.,iron,4046072,0
"in this model, cardiac iron deficiency impairs the mitochondrial electron transport chain, thus leading to low adenosine triphosphate production, and it subsequently prevents mitophagy resulting in damaged mitochondrial accumulation in the heart.",iron,31597832,0
"methods: we performed a cross-sectional analysis involving 8,682 participants aged 60 years and older, with complete data on serum iron levels and confirmed ascvd status, sourced from the 2009-2018 national health and nutrition examination survey (nhanes).",iron,39385780,0
"ferroptosis is a type of regulated cell death characterized by its non-apoptotic, iron-dependent and oxidative nature.",iron,39614322,0
a dose- and time-dependent inhibition of intestinal heme oxygenase is produced by tin-mesoporphyrin which is independent of iron status of the animal.,iron,8265722,0
"nutritional profile including renal panel, calcium, phosphate, intact parathyroid hormone (ipth), 25-hydroxyvitamin d (25(oh)d), vitamin b12, folate, ferritin, iron studies, hemoglobin, albumin, and alkaline phosphatase were analyzed.",iron,30191504,0
"in the rats on the iron-deficient diet, the absorption of ferrous iron decreased from 76 +/- 7.5% (mean +/- se) in control rats to 38 +/- 8.5% in the omeprazole-treated rats (p less than 0.003) and the absorption of food iron decreased from 65 +/- 7.5% in control rats to 37 +/- 6.5% in the omeprazole-treated rats (p less than 0.016).",iron,2007356,0
"however, the mechanism by which iron regulates the response of robinia pseudoacacia to mercury (hg) has not been elucidated, which hinders its application in divalent hg (hg2+) removal from hg-contaminated soil.",iron,39699123,0
"the effect of bmp9 on lipid peroxidation levels in bmscs under iron accumulation conditions was assessed using c11-bodipy staining, mitosox staining, mda and sod activity measurement.",iron,40068762,0
pylori and decreased body iron stores in symptomatic and asymptomatic h.,iron,19250507,0
"in summary, intake of ilex paraguariensis leaf infusion significantly inhibited the absorption of iron in patients with hh and, therefore, should be considered as a potential adjuvant for iron overload control.",iron,34173816,0
"because of insufficient erythropoiesis, peripheral hemolysis and increased gastrointestinal iron absorption, iron overload is still a matter of debate in beta-thalassemia intermedia (beta-ti) patients, which can be overcome using iron chelators.",iron,26114738,0
"these results suggest that the iron atoms in ferredoxin are first reduced by the intramolecular reductants in the presence of triphenyl phosphine with the concomitant formation of s2-2, which then reacts with triphenyl phosphine resulting in the formation of triphenyl phosphine sulfide.",iron,1276162,0
"the results demonstrated that, under the synergistic effects of high temperature and high pressure, the lattice spacing in the crystals significantly decreased, defects were reduced, the distribution of iron ions became more uniform, and the concentration of iron ions in the central region increased.",iron,40004419,0
"additionally, iron limitation resulted in a strong decline in carbon fixation and thus the particulate organic carbon quotas.",iron,24719494,0
ferrous bisglycinate 25 mg iron had a lower frequency of black stools (8%) than ferrous fumarate 40 mg iron (22%) and ferrous sulphate 50 mg iron (31%).,iron,39582678,0
"the complications due to this operation include staple line breakdown, marginal ulcers, stenosis, incisional hernia, dumping, and iron, vitamins a, b12, d, and e deficiencies.",iron,8169987,0
objectives: an excess of mesothelioma has been previously observed in iron ore miners in northeastern minnesota.,iron,39922700,0
the new resin gel was characterized by a homogeneous gel structure with excellent reproducibility (< 5% variation of results between batches) and high sorption capacity which suggests its possible long-term application (up to 286 days in the environment with the arsenic concentration of 100 mug l(-1)).,iron,32043994,0
conclusions: these data are valuable as they enable us to conclude that donors with iron deficiency without anemia after a blood donation would not clinically benefit from iron supplementation.,iron,22272750,0
"furthermore, we provided several evidence to prove that quercetin pretreatment alleviated lps/ie-dap-induced ferroptosis and liver injury by decreasing hepatic iron accumulation via targeting the il-6/stat3 signaling in vitro and in vivo, effects reversed by the addition of recombinant bovine il-6.",iron,39986118,0
"conclusions: our findings show that hip at each of the concentrations tested increased hb; moreover, when present at higher concentrations in the diet, the hip is capable of restoring hemoglobin to resolve iron deficiency anemia.",iron,39683423,0
polycrystalline iron undergoes grain rotation and coalescence during cyclic loading.,iron,39940193,0
"additionally, we explore the potential therapeutic roles of iron chelators and ros scavengers in mitigating the adverse effects of ferroptosis.",iron,39742226,0
"iron (all 56) and iodine (n = 20) were the most and least reported mns, respectively.",iron,38569787,0
increased exposure of iron in the gut could also alter microbiome file.,iron,27548249,0
"this study presents the first comprehensive analysis of iron content in the lc by combining a transgenic ad rat model, precise anatomical isolation, and inductively coupled plasma mass spectrometry for high-sensitivity metal quantification.",iron,39922529,0
hepcidin is a peptide hormone that controls systemic iron availability and is upregulated by iron and inflammation.,iron,25241290,0
"additionally, ferroptosis, an iron-dependent form of cell death, is identified as a critical mechanism in ivdd pathogenesis.",iron,40079053,0
the determining factor in the mechanism of iron acquisition is lipopolysaccharide (lps) of virulent bacteria that by itself or with the help of siderophores provides iron that is an essential microelement for bacterial growth.,iron,21117298,0
the defining units of this topological metal are therefore triangular lattices of octahedral iron clusters rather than weakly coupled kagome planes.,iron,39414778,0
"in the past decade, ferroptosis (a form of iron-dependent regulated cell death) has been reported to contribute to the pathogenesis and progression of various diseases.",iron,39799367,0
"risk factors for depression include genetic predisposition and environmental factors, as well as a number of social, psychological, and biological factors.",iron,19699836,1
"using a mantel-haenszel random-effects model, iron supplementation was associated with reduced self-reported fatigue (standardised mean difference (smd) -0.38; 95% ci -0.52 to -0.23; i(2) 0%; 4 trials; 714 participants) but was not associated with differences in objective measures of physical capacity, including maximal oxygen consumption (smd 0.11; 95% ci -0.15 to 0.37; i(2) 0%; 9 trials; 235 participants) and timed methods of exercise testing.",iron,29626044,1
"intravenous iron probably results in a slight reduction in fatigue within 8 to 28 days (standardised mean difference -0.25, 95% ci -0.42 to -0.07; p = 0.006; i(2) = 47%; 2 rcts; 515 women; moderate-certainty evidence).",iron,39670550,1
"authors' conclusions: intravenous iron probably reduces fatigue slightly in the early postpartum weeks (8 to 28 days) compared to oral iron tablets, but probably results in little to no difference after four weeks.",iron,39670550,1
"iron deficiency can cause a range of symptoms that range from aggravating to debilitating including fatigue, poor quality of life, pagophagia, and restless leg syndrome.",iron,36153674,1
"conclusions: a higher midpregnancy maternal iron and vitamin d status, independently or in combination, predicted fewer maternal depression symptoms in the third trimester.",iron,37984742,1
"future research should explore the synergistic use of iron chelators with immune-modulating therapies, positioning them as viable options in the evolving field of alopecia treatment.",iron,40217584,1
"in multivariate regression analysis, iron deficiency was not associated with fatigue: fact-an (r = -1.17, p = 0.57, 25% ci: -5.27 to 2.92).",iron,38984797,1
"conclusion: preoperative iron deficiency is frequent among cardiac surgery patients and is associated with anaemia, higher transfusion requirements and postoperative fatigue.",iron,21885979,1
"here, we aimed to assess and correlate iron parameters in dogs suffering from canine atopic dermatitis (cad) compared to non-atopic, healthy dogs.",iron,39506866,1
"in addition, the high-pressure hydrogen environment reduces the fatigue life of the bm and wm of x70 pipeline steel, and the fatigue life of the wm decreases more than that of the bm as well.",iron,39685261,1
"seborrheic dermatitis was correlated with significantly increased copper, manganese, iron, calcium, and magnesium concentrations and significantly lower serum zinc and vitamin d and e concentrations.",iron,39102684,1
symptoms of vertigo/ dizziness were significantly more common in students with iron deficiency.,iron,16025871,1
"seven observational studies with pooled dichotomous outcomes showed that iron deficient or anaemic women were 1.66 times more likely to experience symptoms of depression than non-anaemic or iron-replete women [rr = 1.66 (95% ci: 1.28; 2.16), i(2) = 67.0%, p < 0.01].",iron,35189871,1
"this systematic review examined the evidence of whether iron deficiency, with or without anaemia, was associated with fatigue in ibd.",iron,39804874,1
there was no unique contribution of iron deficiency to problematic fatigue after adjustment for active disease and anemia.,iron,24005345,1
"conclusion: in recreationally active idna females, intravenous iron therapy corrects iron status and improves both exercise economy and fatigue scores after 4 weeks.",iron,40032294,1
"the disorder has a long preclinical phase with increasing body iron overload, and 30% of males will develop clinically overt disease, presenting with symptoms of fatigue, arthralgias, reduced libido, erectile dysfunction, cardiac disease, diabetes and liver disease, later progressing into cirrhosis, cardio-myo-pathy, pancreatic fibrosis and osteoporosis.",iron,30618363,1
"however, the reactivity of cerebrospinal fluid (csf) iron and its possible correlation with the severity of cognitive decline in both alzheimer's patients and subjects with mild cognitive impairment (mci) is still unknown.",iron,18376063,1
comparing the effectiveness of vitamin d plus iron vs vitamin d on depression scores in anemic females: randomized triple-masked trial.,iron,31456988,1
"methods: we conducted a comprehensive search of databases such as pubmed, elsevier sciencedirect, google scholar, and cnki, using keywords such as ""ferroptosis"", ""depression"", ""iron death"", ""safety"", ""efficacy"", and ""effectiveness"".",iron,40339536,1
iron metabolism disorders are a prominent example of conditions where fatigue is a leading symptom.,iron,36140459,1
"the obvious question this poses is 'what is the source of this chronic low-grade inflammation?' discussion: this review explores the role of inflammation and oxidative and nitrosative stress as possible mediators of known environmental risk factors in depression, and discusses potential implications of these findings.",iron,24228900,1
iron restriction improved muscle strength development and reduced fatigue times; this was related to better lipid profile control and decreased oxidant stress markers.,iron,35453417,1
"additional secondary outcomes include fatigue, physical function, muscle strength, muscle metabolism, quality of life, resting blood pressure, clinical chemistry, safety and harms associated with the iron therapy intervention and the exercise training intervention, and hospitalisations.",iron,35896969,1
"as a hypochromic microcytic anemia that is commonly associated with symptoms such as fatigue and pallor when identified in adulthood, beta-thalassemia may be commonly underdiagnosed or misdiagnosed as iron deficiency anemia.",iron,38872652,1
"in csf, 5-ht level is significantly decreased and the levels of iron and transferrin are dramatically increased in fatigue group.",iron,28442790,1
"conclusion treatment with oral liposomal iron is effective in improving mild iron deficiency anemia and quality of life, as well as in decreasing fatigue in patients with inactive or mildly active inflammatory bowel disease.",iron,32367457,1
"objective: this study will determine (1) women's iodine intake and status among supplement users and nonusers; (2) women's intake and status of iodine, selenium, and iron relating to thyroid function; (3) associations between women's selenium status, thyroid function, and postnatal depression; (4) infants' iodine and selenium status relating to first year neurodevelopment.",iron,32852279,1
"objective: to determine the prevalence of preoperative iron deficiency and its association with perioperative anaemia, blood transfusions and fatigue in cardiac surgery patients.",iron,21885979,1
experimental and numerical analysis of thermal fatigue of grey cast iron ingot mould.,iron,39685171,1
"beyond anemia, lack of iron has protean manifestations, including fatigue, hair loss, and restless legs.",iron,28189173,1
"in a randomized, double-blinded, placebo-controlled study, 90 premenopausal women presenting with fatigue, serum ferritin </= 50 ng/ml, and hemoglobin >/= 120 g/l were randomized to receive either 800 mg of intravenous iron (iii)-hydroxide sucrose or intravenous placebo.",iron,21705493,1
conclusions: treatment of iron deficiency with either supplementation or a high iron diet results in improved mental health and decreased fatigue among women of childbearing age.,iron,11506061,1
"in three randomized controlled trials (rcts), pooled continuous data showed statistically significant reduction in fatigue scores in women who received iron supplementation than the control group [md: -1.85 (95% ci: -3.04; -0.67), i(2) = 65.0%, p < 0.06].",iron,35189871,1
"introduction: atopic dermatitis (ad) is a chronic inflammatory disease characterized by increased skin sensitivity to environmental elements, mediated by cd4(+) t helper cells (th2).",iron,39775933,1
"however, more detailed studies with considering the complex involvement of different environmental factors including sunlight exposure, diet, depression and vitamin d are needed to determine the outcome of ms.",iron,29526408,1
erratum to: iron deficiency without anemia is associated with anger and fatigue in young japanese women.,iron,26487444,1
"the aim of study was to analyse the relationship between serum parameters of iron metabolism and the severity of fatigue, depressive symptoms, and quality of life in ms patients.",iron,32962047,1
"however, improvements in iron stores and hb levels after iron isomaltoside administration were supported by the fact that several of the fatigue symptoms scores showed numerical differences in favor of iron isomaltoside.",iron,29424441,1
"specific examples of dietary supplements aimed at preventing postnatal depression include: omega-3 fatty acids, iron, folate, s-adenosyl-l-methionine, cobalamin, pyridoxine, riboflavin, vitamin d and calcium.",iron,24158923,1
autoimmune gastritis may manifest via iron deficiency or vitamin b12 deficiency anaemia with fatigue and painful neuropathy.,iron,20009114,1
fatigue scores improved in iron but not pla after 4 weeks (p<0.05).,iron,40032294,1
objective: we investigated tissue-level iron depletion and progressive fatigue of the quadriceps during dynamic knee-extension exercise in young women.,iron,12540406,1
"iron deficiency, general health and fatigue: results from the australian longitudinal study on women's health.",iron,11190004,1
"in the present paper, we sum up the protective effect of acupuncture therapy from 1) cell apoptosis (for example, improving post-surgery cognition impairment, traumatic brain injury and ischemic stroke by relieving mitochondrial damage, activating mitochondrial autophagy, increasing blood-brain barrier permeability, and thus reducing cell apoptosis ), 2) cell autophagy (for example, improving post-surgery cognition impairment, traumatic brain injury and ischemic stroke by relieving mitochondrial damage, activating mitochondrial autophagy, and increasing blood-brain barrier permeability, and thus reducing cell apoptosis), 3) pyroptosis (for example, inhibiting abnormally-activated inflammasomes, and caspase and gasdermin d activity to remit pyroptosis in the treatment of stroke, depression, parkinson's disease, and alzheimer's disease animal models), 4) ferroptosis (for instance, regulating iron ion metabolism, relieving lipid peroxidation damage, and thus playing a brain protection role in the treatment of ischemic and hemorrhagic stroke animal models), 5) necroptosis (inhibiting necrotic apoptosis mediated by receptor-interacting protein kinase 1 in intracerebral hemorrhage rats), and so on.",iron,40059056,1
"fatigue was also inversely associated with calcium, iron, and zinc intakes.",iron,35304769,1
background: androgenetic alopecia (aga) is a multifactorial disorder expressed by several genes and various environmental factors apart from nutritional and endocrinological factors.,iron,39600421,1
"the effect of the iron deficiency with anaemia (sports anaemia) is manifest in a reduction of aerobic capacity with an increase in lactate acidosis, greater fatigue, loss of appetite, muscular cramps and vasomotor disturbances.",iron,3604297,1
"most patients present with dyspnoea, fatigue and recurrent haemoptysis, resulting in iron deficiency anaemia.",iron,19029052,1
"the significant relationship between liver iron concentration and cirrhosis, diabetes, cardiac disease, pigmentation, and fatigue confirms the importance of iron toxicity in the pathogenesis of hepatic and extrahepatic disease.",iron,8985284,1
shrinkage greatly influences the mechanical and fatigue properties of compacted graphite iron and it is necessary in order to study the causes of shrinkage in compacted graphite iron and to predict it effectively.,iron,36499908,1
"two whole-blood donors left with medical problems unrelated to the study, one apheresis donor and one whole-blood donor dropped out of the study because of excessive fatigue, and three non-iron-supplemented whole-blood donors had unacceptably low hematocrit levels.",iron,8236422,1
we reviewed the evidence linking anaemia and/or iron-deficiency to postpartum depression (ppd).,iron,29363366,1
interpretation regarding the direct role of tissue iron status is limited by the study's low power to detect relations between tissue iron improvement and decreased muscle fatigue.,iron,12540406,1
"treatment of iron deficiency anemia decreases the risk of preterm delivery, intrauterine growth restriction, and perinatal depression.",iron,37590852,1
conclusion: ida patients attending routine clinical practice reported substantial levels of fatigue and impairments in physical function and global health prior to intravenous iron treatment.,iron,37551293,1
"measurements: clinical symptoms were evaluated by a survey before iron therapy (visit 0, v0) and after 8-12 weeks (visit 1, v1), including questions about symptoms of restless legs syndrome (rls), chronic fatigue syndrome (cfs), sleeping disorders, quality of life and symptoms like headaches, dyspnoea, dizziness, palpitations, pica and trophic changes in fingernails or hair.",iron,32380660,1
we conducted an observational analysis of data from the stride randomized trial to evaluate association of iron status with self-reported fatigue.,iron,32974931,1
"in the fully adjusted logistic regression models, iron deficiency was associated with an estimated 53% higher risk of severe fatigue, a 100% higher risk of major depressive symptoms, and a 51% higher chance of being at risk for sick leave/work disability.",iron,38493925,1
effect of iron supplementation on fatigue in nonanemic menstruating women with low ferritin: a randomized controlled trial.,iron,22777991,1
"in patients suffering from depression, increase in the prevalence of aid should be considered, in order to deliver a suitable treatment, considering both anti-depressive program and iron supplementation if aid.",iron,35846210,1
"one trial reported a greater improvement in fatigue in the intravenous and oral iron group, but the effect size could not be calculated (1 rct; 128 women; very low-certainty evidence).",iron,39670550,1
"conclusion: high doses of intravenous iron quickly boost hgb early, causing rapid improvement in si, tsat, tbic, sf, and patient fatigue scores.",iron,39765352,1
"influence of iron supplementation on fatigue, mood states and sweating profiles of healthy non-anemic athletes during a training exercise: a double-blind, randomized, placebo-controlled, parallel-group study.",iron,36817736,1
the patient had been treated with oral iron supplementation for two years due to fatigue.,iron,7653009,1
"[cytokines attributable to abnormal data and symptoms] for example, cytokines attributable to abnormal data and symptoms in rheumatoid arthritis are as follows: joint pain: tnfalpha, il-1, il-6, and il-18; general fatigue and appetite loss: tnfalpha and il-1; leukocytosis: g-csf produced by il-1-stimulated macrophages etc; thrombocytosis: megakaryocyte potentiating activity of il-6; anemia: hepcidin up-regulated by il-6, which inhibits iron absorption from the intestine, and il-1, which decreases the blood iron level and promotes ferritin synthesis.",iron,17441472,1
"there were strong associations between iron status and a number of the hrqol parameters, with improved general health (p<0.001), improved vitality (physical energy) (p<0.001), less psychological downheartedness (p=0.005), less clinical depression (p=0.003) and overall improved mental health (p<0.001).",iron,23087011,1
"iron isomaltoside was better tolerated than oral iron, and fatigue was significantly decreased with iron isomaltoside.",iron,26927900,1
patients with iron deficiency had a significantly lower adjusted median functional assessment of chronic illness therapy fatigue subscale score compared with those without iron deficiency (26.3.,iron,39564807,1
"in other healthy populations, reversible fatigue and exercise capacity impairment occur with mild iron deficiency.",iron,30924532,1
"the level of fatigue after one month decreased by -1.82/6.37 points (29%) in the iron group compared with -0.85/6.46 points (13%) in the placebo group (difference 0.95 points, 95% confidence interval 0.32 to 1.62; p=0.004).",iron,12763985,1
"conclusion: we quantified cortical magnetic susceptibility values reflecting the iron content in glioma patients using qsm and assessed participants' cognitive function using moca, and found that cortical iron deposition was increased in different brain regions and that cognitive decline in glioma patients may be associated with elevated iron content in the precentral gyrus.",iron,40238026,1
"in the total study population, iron restoration led to a significant mitigation of fatigue (p=0.01).",iron,39239538,1
"results: exercising females showed negative sentiment toward iron deficiency symptoms (mean range = -0.94 to -0.81), with perception that fatigue significantly impacts performance and recovery.",iron,37644963,1
"is fatigue a cue to obtain iron supplements in odisha, india?",iron,33082184,1
improvements in fatigue and qol were greater with iv iron versus oral iron at weeks 3 and 6.,iron,36107229,1
"the consequences include hepatic fibrosis, cardiomyopathy and skin pigmentation, and these sequelae along with fatigue may be prevented by 'de-ironing'.",iron,30191911,1
"[functional iron deficiency, inflammation and fatigue after radiotherapy].",iron,26235415,1
"aims of the study: iron deficiency (id) and iron deficiency anaemia (ida) are important conditions affecting a large proportion of the general population, causing the patients physical and psychosomatic symptoms, particularly fatigue, and significantly affecting their quality of life.",iron,31269223,1
"symptoms attributed to iron deficiency or depletion, defined as fatigue, cardiopulmonary symptoms, mental manifestations, epithelial manifestations, and neuromuscular symptoms were recorded.",iron,30868025,1
"this article explores the subtle effects of surfaces and interfaces on the mechanical properties of bulk metallic alloys using three examples: environmental effects on fatigue life, hydrogen embrittlement effects on the ductility of intermetallics, and the role of coherent precipitates in the toughness of steels.",iron,20527827,1
iron tailings as mineral fillers and their effect on the fatigue performance of asphalt mastic.,iron,38930296,1
"intravenous iron for the treatment of fatigue in nonanemic, premenopausal women with low serum ferritin concentration.",iron,21705493,1
[spring time fatigue or iron deficiency?].,iron,26012444,1
microstructure studies of ingot cast iron that was subjected to thermal fatigue were also conducted on a laboratory stand; the temperature changes and test times were the same as those used under the normal operating conditions of the ingot mould.,iron,39685171,1
"dfo mitigated iron overload condition and brain abnormalities, partially ameliorating cognitive decline.",iron,39954841,1
